"Sub-category","Description","Amount ($)"
"Travel","Flight Alona Z Germany 19-22.9.23","202"
"Travel","Flight Matt T. Toronto 25-30.6.23","4,178"
"Travel","Flight Adam A. - Warsaw 9-13.1.23","1,360"
"Travel","Flight Uri S. Brazil 30.4-4.5.23","6,208"
"Travel","Flight Uri S. London 5-9.6.23","2,224"
"Travel","Flight Uri S. Warsaw 9-13.7.23","1,152"
"Travel","Flight Oshri Germany 19-22.9.23","1,079"
"Travel","Flight Oshri B. Toronto 24-30.6.23","7,144"
"Travel","Flight Alon S. Warsaw 10-13.7.23","1,060"
"Travel","Flight Brigit Sander Brazil 29.4-4.5.23","3,495"
"Travel","Flight Germy Germany 19-21.9.23","310"
"Travel","Flight Germy B. USA 26-29.3.23","3,374"
"Travel","Flight Germy B. England 18-20.7.23","1,594"
"Travel","Flight Germy B. Toronto 25-30.6.23","2,806"
"Travel","Flight Germy B. USA 1-5.7.23","965"
"Travel","Flight Germy Bandler US 29.1-2.2.23","5,434"
"Travel","Flight David Katz Canada 26-29.6.23","4,850"
"Travel","Flight Javier - Warsaw 9-13.1.23","1,343"
"Travel","Flight Chen N. Toronto 25-30.6.23","260"
"Travel","Flight to Warsaw 9-13.1.23","1,174"
"Travel","Flight Moriel Wolfman Toronto 25-29.6.23","4,094"
"Travel","Flight Moran Weisel Toronto 10-13.7.23","566"
"Travel","Flight Martin Germany 19-22.9.23","413"
"Travel","Flight Martin USA 25-30.3.23","4,706"
"Travel","Flight Marna Baker Toronto 25-29.6.23","3,714"
"Travel","Flight Sahar A. - Warsaw 9-13.1.23","1,435"
"Travel","Flight Sophia T. USA 12-15.6.23","2,545"
"Travel","Flight Sophia T. Germany 18-21.9.23","1,279"
"Travel","Flight Sophia T. Toronto 25-30.06.23","3,881"
"Travel","Flight Shahar Germany 19-22.9.23","639"
"Travel","Flight Shahar Warsaw 7-12.5.23","1,322"
"Travel","Flight Shahar A. London 5-9.6.23","1,539"
"Travel","Flight Shahar A. Warsaw 13-17.2.23","566"
"Travel","Flight Shahar A. Warsaw 9-14.7.23","2,534"
"Travel Total","","79,445"
